index,16-18,19-21,22-24,Total
No diploma,-3.0,0.0,3.0,1.0
HS diploma or GED,4.0,8.0,5.0,6.0
"Some college, no degree",1.0,-7.0,2.0,-1.0
Degree (Associate or higher),-1.0,-1.0,-11.0,-6.0
